GTCBSA,HEHOUSUT,HETENURE,HEFAMINC,PEEDUCA,PEMLR,PESEX,PEMARITL,PWCMPWGT,HRNUMHOU,PWFMWGT,PWLGWGT,PWORWGT,PWSSWGT,Year,Month
35620,1,2,10,-1,-1,1,-1,0.0000,6,5422.9965,0.0000,0.0000,5422.9965,2015,jan
0,1,1,15,40,1,2,1,1069.9482,4,1064.5489,1522.6360,0.0000,1064.5489,2018,jan
0,1,1,12,41,1,1,1,1827.3268,3,1945.8997,0.0000,7280.6966,1824.7903,2012,jan
27260,1,1,16,39,1,2,1,4844.5793,2,4890.1782,0.0000,0.0000,4890.1782,2020,jan
15540,1,1,16,42,1,1,1,356.8508,3,353.2554,514.0672,0.0000,354.5548,2019,jan
12220,1,1,1,42,4,2,1,1719.3506,4,1710.4895,2446.5319,0.0000,1710.4895,2018,jan
19340,1,2,6,-1,-1,2,-1,0.0000,4,1691.9681,0.0000,0.0000,1691.9681,2019,jan
17900,1,2,14,43,1,1,4,2719.0181,2,2736.6487,3916.7081,0.0000,2736.6487,2015,jan
0,1,2,12,43,7,1,1,888.0225,2,710.3472,1198.8957,3494.4849,849.4770,2012,jan
0,1,1,15,42,7,2,1,532.1223,3,520.4305,731.9495,2113.0385,520.4305,2011,jan
49340,1,2,15,44,1,1,6,2779.2660,1,2776.1777,3980.6113,0.0000,2776.1777,2016,jan
41620,1,-1,16,43,1,1,1,2085.8383,2,2046.7770,0.0000,0.0000,2077.4672,2024,jan
0,1,1,12,39,6,1,6,1286.6299,6,1290.5540,1821.4027,5018.2785,1290.5540,2012,jan
0,1,-1,14,43,7,2,1,787.4416,2,795.3957,0.0000,0.0000,795.3957,2024,jan
16860,1,1,13,40,1,2,1,2992.1109,2,3020.3278,4268.8800,0.0000,3020.3278,2014,jan
38900,1,1,7,43,1,1,4,2303.6019,1,2350.0667,3369.6337,8922.4745,2350.0667,2016,jan
0,1,2,6,39,4,1,1,1441.4500,3,1976.2577,0.0000,0.0000,1468.7596,2014,jan
